time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
591907,18:16:23.518,3.500,-5.180,0.210,-0.257,0.958,0.142
591921,18:16:23.532,0.140,-2.520,1.330,-0.261,0.959,0.143
591934,18:16:23.534,-1.750,-1.890,2.310,-0.261,0.957,0.141
591988,18:16:23.670,0.910,-4.690,0.700,-0.258,0.956,0.141
592002,18:16:23.672,2.940,-4.970,0.490,-0.258,0.958,0.142
592015,18:16:23.680,-1.400,-1.260,-15.890,-0.262,0.959,0.141
592029,18:16:23.682,1.890,-3.920,-0.280,-0.258,0.958,0.141
592043,18:16:23.683,-0.490,-3.500,1.610,-0.259,0.959,0.141
592056,18:16:23.691,1.890,15.120,-0.350,-0.260,0.958,0.142
592070,18:16:23.693,2.030,-2.870,17.360,-0.259,0.958,0.141
592084,18:16:23.694,0.980,-3.500,0.560,-0.259,0.958,0.142
592097,18:16:23.709,2.730,-4.900,-0.140,-0.259,0.958,0.142
592111,18:16:23.711,2.170,-2.940,0.280,-0.259,0.959,0.142
592166,18:16:23.848,3.500,-5.740,-0.560,-0.259,0.958,0.141
592179,18:16:23.850,3.220,-3.290,-1.260,-0.260,0.958,0.141
592193,18:16:23.858,3.430,-4.970,-1.050,-0.260,0.958,0.142
592207,18:16:23.860,1.330,-2.170,-0.070,-0.259,0.959,0.142
592220,18:16:23.861,-1.680,-1.470,-0.420,-0.261,0.957,0.141
592234,18:16:23.870,1.610,-2.870,-0.070,-0.259,0.959,0.141
592248,18:16:23.871,1.820,-1.330,-0.350,-0.257,0.957,0.143
592261,18:16:23.873,4.550,-4.760,-0.630,-0.258,0.958,0.141
592275,18:16:23.888,2.800,-3.500,1.610,-0.260,0.958,0.142
592289,18:16:23.890,1.190,-2.590,0.210,-0.262,0.958,0.142
592343,18:16:24.026,0.630,-3.220,0.560,-0.258,0.959,0.140
592357,18:16:24.028,3.710,-4.620,-1.470,-0.260,0.959,0.142
592371,18:16:24.036,-0.350,-2.240,0.840,-0.258,0.959,0.142
592384,18:16:24.038,1.960,-3.290,-1.330,-0.259,0.959,0.142
592398,18:16:24.040,0.210,-2.100,0.770,-0.260,0.958,0.142
592412,18:16:24.047,2.450,-4.550,-0.560,-0.261,0.957,0.141
592425,18:16:24.049,4.340,-3.710,0.840,-0.260,0.959,0.142
592439,18:16:24.051,0.280,-2.380,0.420,-0.263,0.958,0.141
592453,18:16:24.065,3.710,-3.430,-1.540,-0.262,0.957,0.143
592466,18:16:24.067,0.840,-4.480,0.700,-0.258,0.958,0.142
592521,18:16:24.202,2.450,-2.030,-0.770,-0.259,0.956,0.141
592535,18:16:24.205,1.960,-2.170,-0.560,-0.261,0.957,0.142
592548,18:16:24.212,-1.470,-1.680,1.960,-0.256,0.958,0.142
592562,18:16:24.215,-0.070,-1.540,0.980,-0.260,0.958,0.142
592576,18:16:24.217,2.240,-4.060,-0.490,-0.259,0.957,0.143
592589,18:16:24.224,-0.070,-3.150,1.400,-0.258,0.956,0.142
592603,18:16:24.225,-1.890,-0.980,0.630,-0.258,0.957,0.141
592617,18:16:24.227,0.350,-2.730,0.840,-0.259,0.959,0.140
592630,18:16:24.241,1.750,-1.540,0.000,-0.261,0.959,0.140
592643,18:16:24.242,3.290,-3.430,-1.190,-0.260,0.959,0.141
592698,18:16:24.380,1.610,-3.570,0.070,-0.258,0.958,0.142
592712,18:16:24.382,-0.700,-1.750,1.540,-0.260,0.960,0.141
592725,18:16:24.390,-1.190,-3.290,1.680,-0.258,0.958,0.139
592739,18:16:24.392,3.500,-3.710,0.560,-0.260,0.957,0.141
592753,18:16:24.394,-0.910,-1.050,1.540,-0.261,0.958,0.142
592766,18:16:24.401,0.980,-4.130,0.490,-0.260,0.957,0.141
592780,18:16:24.403,4.200,-5.390,-0.490,-0.259,0.959,0.141
592794,18:16:24.405,2.380,-3.010,0.770,-0.259,0.959,0.142
592807,18:16:24.419,0.070,-1.470,0.840,-0.259,0.959,0.140
592821,18:16:24.419,1.960,-3.150,-0.280,-0.260,0.957,0.143
592875,18:16:24.556,-1.890,-1.190,-0.350,-0.259,0.957,0.142
592888,18:16:24.557,-1.190,-1.890,1.890,-0.261,0.956,0.142
592902,18:16:24.566,0.420,-1.190,0.490,-0.259,0.957,0.142
592916,18:16:24.567,1.190,-0.140,0.210,-0.260,0.958,0.142
592929,18:16:24.569,2.590,-3.010,0.490,-0.260,0.960,0.141
592942,18:16:24.577,1.260,-3.640,0.490,-0.260,0.957,0.139
592956,18:16:24.578,-0.980,-2.800,1.330,-0.259,0.959,0.143
592969,18:16:24.578,2.660,-2.940,17.080,-0.260,0.958,0.142
